customer_id,gender,senior_citizen,tenure_months,monthly_charges,contract_type,internet_service,online_security,tech_support,payment_method,support_calls,total_charges,churn
1,Male,0,61,76.26,Month-to-month,DSL,0,0,Debit Card,7,4651.86,1
2,Female,1,9,96.52,One year,Fiber optic,0,1,Debit Card,6,868.68,1
3,Male,0,68,114.04,Month-to-month,No,0,0,Debit Card,6,7754.72,1
4,Male,0,35,21.58,Month-to-month,Fiber optic,0,1,Debit Card,4,755.3,1
5,Male,0,65,72.28,Month-to-month,DSL,1,0,Bank transfer,4,4698.2,1
6,Female,0,8,67.09,Month-to-month,DSL,0,0,Credit card,4,536.72,1
7,Male,0,45,85.61,Month-to-month,No,1,0,Debit Card,6,3852.45,1
8,Male,0,47,75.96,One year,Fiber optic,1,1,Credit card,1,3570.12,1
9,Male,1,40,88.7,One year,Fiber optic,0,0,Bank transfer,7,3548.0,1
10,Female,0,54,85.81,Month-to-month,No,1,0,UPI,6,4633.74,1
11,Male,0,46,31.7,One year,Fiber optic,1,0,Bank transfer,5,1458.2,0
12,Male,0,47,99.97,Month-to-month,Fiber optic,1,0,Debit Card,6,4698.59,0
13,Male,0,15,32.32,Month-to-month,Fiber optic,0,0,UPI,5,484.8,1
14,Male,0,19,89.85,One year,DSL,0,0,Bank transfer,6,1707.15,0
15,Female,0,26,61.61,Month-to-month,Fiber optic,0,0,Bank transfer,6,1601.86,1
16,Male,0,52,71.39,Two year,DSL,1,0,Credit card,1,3712.28,0
17,Female,0,22,110.33,Month-to-month,DSL,0,1,Bank transfer,5,2427.26,0
18,Female,1,21,108.99,One year,DSL,0,1,UPI,1,2288.79,1
19,Female,0,51,101.79,Month-to-month,DSL,0,0,Bank transfer,5,5191.29,1
20,Male,0,38,71.01,Month-to-month,Fiber optic,0,0,Debit Card,1,2698.38,1
21,Female,0,20,93.62,Month-to-month,Fiber optic,0,1,Credit card,1,1872.4,1
22,Male,0,29,71.29,One year,Fiber optic,0,1,UPI,5,2067.41,0
23,Female,0,51,106.96,Month-to-month,DSL,0,0,UPI,1,5454.96,1
24,Female,0,4,60.28,Two year,No,1,1,Bank transfer,6,241.12,1
25,Female,0,55,117.02,Month-to-month,DSL,0,0,Debit Card,5,6436.1,1
26,Female,0,71,113.23,Month-to-month,Fiber optic,1,0,Credit card,1,8039.33,0
27,Female,0,28,94.16,Month-to-month,No,0,0,UPI,6,2636.48,0
28,Female,0,4,47.94,One year,Fiber optic,0,1,Credit card,6,191.76,1
29,Female,0,22,33.17,Two year,Fiber optic,1,0,Bank transfer,4,729.74,1
30,Female,0,45,105.47,Month-to-month,No,1,1,Debit Card,0,4746.15,0
31,Male,0,67,36.53,One year,DSL,0,0,Bank transfer,5,2447.51,1
32,Male,0,66,105.43,Month-to-month,Fiber optic,1,0,Credit card,1,6958.38,1
33,Female,0,34,69.08,One year,Fiber optic,1,0,Bank transfer,4,2348.72,1
34,Female,0,55,60.66,Two year,DSL,1,1,Credit card,0,3336.3,0
35,Female,0,1,110.32,Month-to-month,Fiber optic,0,0,UPI,7,110.32,1
